,lat,lng,on_demand,quantity,found_rate,picking_speed,accepted_rate,rating,lat_store,lng_store,distance,seniority_41dc7c9e385c4d2b6c1f7836973951bf,seniority_50e13ee63f086c2fe84229348bc91b5b,seniority_6c90661e6d2c7579f5ce337c3391dbb9,seniority_bb29b8d0d196b5db5a5350e5e3ae2b1f,total_minutes
0,-32.987022410412,-71.5448421143012,True,18.0,0.8313,2.57,0.76,4.92,-33.008213,-71.545615,2.351239667075078,0,1,0,0,76.101685
1,-32.9786949999999,-71.5375169000001,True,42.0,0.846,1.23,0.92,4.8,-33.008213,-71.545615,3.360024479827084,0,0,1,0,73.11312
2,-33.0179651,-71.5518224,False,90.8,0.8365,1.37,1.0,4.68,-33.008213,-71.545615,1.2272638605450636,0,0,1,0,114.12353
3,-32.9846574270851,-71.5426778245522,True,39.18,0.8656,1.14,0.84,4.68,-33.008213,-71.545615,2.6267984543258844,0,1,0,0,71.342545
4,-32.9847623301435,-71.542657379106,False,237.999,0.8861,1.34,1.0,4.96,-33.008213,-71.545615,2.6154294779330454,0,0,1,0,138.49625
5,-32.970830285322,-71.52524100828249,True,33.6,0.8962,1.54,0.84,4.96,-33.008213,-71.545615,4.562306329864968,0,1,0,0,80.514
6,-32.9754771,-71.5415713,True,13.0,0.8747,1.29,0.96,4.68,-33.008213,-71.545615,3.6501703309712785,0,0,1,0,66.64891
7,-32.9778385845026,-71.5283771244499,True,48.2,0.8747,1.29,0.96,4.68,-33.008213,-71.545615,3.734079678639375,0,0,1,0,83.58198
8,-32.994401047302496,-71.4944630462179,True,1.0,0.8290000000000001,1.61,0.76,5.0,-33.008213,-71.545615,5.019677916048328,0,1,0,0,61.999493
9,-33.0108890936985,-71.5483142693115,True,24.38,0.8818,1.62,1.0,4.72,-33.008213,-71.545615,0.38949206666918657,0,0,1,0,74.7595
10,-33.015983500000004,-71.5381168,True,84.167,0.8789,1.17,1.0,4.96,-33.008213,-71.545615,1.1106586774433973,0,0,1,0,94.22873
11,-32.9864803342003,-71.542132630348,True,50.3,0.8789,1.17,1.0,4.96,-33.008213,-71.545615,2.4321213695982555,0,0,1,0,76.294754
12,-32.981587899999994,-71.5327397,True,63.0,0.9187,1.09,1.0,5.0,-33.008213,-71.545615,3.1886065491076794,0,0,1,0,75.25667
13,-33.018262,-71.54085740000001,True,64.58,0.8664,1.36,1.0,4.68,-33.008213,-71.545615,1.1998708894135417,0,0,1,0,86.44407
14,-33.3307237301626,-70.54707406959349,True,15.0,0.8946,1.82,1.0,4.84,-33.357558000000004,-70.515415,4.188461245874478,0,0,1,0,63.806293
15,-33.3472272,-70.5488903,True,9.0,0.8607,1.28,1.0,4.56,-33.357558000000004,-70.515415,3.319872302393983,0,0,1,0,51.053696
16,-33.3411299,-70.5192682,True,5.0,0.8662,2.06,0.76,4.92,-33.357558000000004,-70.515415,1.857018028011739,0,1,0,0,53.41761
17,-33.3466044,-70.5545507,True,9.832,0.8320000000000001,1.0,0.68,4.76,-33.357558000000004,-70.515415,3.840003424039447,0,1,0,0,49.125008
18,-33.3630042,-70.5112936,True,10.1,0.8917,1.3,0.88,4.96,-33.357558000000004,-70.515415,0.7155454491387094,0,0,1,0,48.974068
19,-33.3629845338162,-70.52319630017091,True,4.0,0.8729,1.17,1.0,4.92,-33.357558000000004,-70.515415,0.9416627759725876,0,0,1,0,39.873108
20,-33.3665856888374,-70.5061396051712,True,36.72908827067668,0.8112,3.4,0.96,4.92,-33.357558000000004,-70.515415,1.3220264389252496,0,1,0,0,80.269165
21,-33.3484743,-70.5196344,False,118.605,0.8361,1.91,0.96,4.96,-33.357558000000004,-70.515415,1.0813231257129878,0,0,1,0,128.97548
22,-33.343418846167395,-70.5565296188463,False,27.0,0.8796,3.12,0.88,4.79,-33.357558000000004,-70.515415,4.135862165675755,0,1,0,0,90.543434
